feature,importance_mean,importance_std
F7_energy,-0.00043471482163267574,0.001477995011446358
T7_alpha_abs_power,-0.0005484297838823649,0.003331110213996242
T7_gamma_rel_power,-0.0005812232147488605,0.0015161205221974224
Fp1_delta_rel_power,-0.0005812232147488605,0.0015161205221974224
T7_delta_rel_power,-0.0005815693087473872,0.0012427284353283212
T7_gamma_abs_power,-0.0005815693087473872,0.0012427284353283212
O1_theta_beta_ratio,-0.0005819154027459139,0.0008888904603812879
F4_beta_rel_power,-0.0005819154027459139,0.0008888904603812879
C4_alpha_abs_power,-0.0005890347956775566,0.0015318671998810316
P7_var,-0.0006166754507972549,0.0015479669425128176
F8_range,-0.0006274437510237374,0.001799996372182638
F7_q25,-0.0006290327165465071,0.0012649781139150757
T7_beta_abs_power,-0.0007758872036612186,0.0009502638734624389
O2_delta_abs_power,-0.0007758872036612186,0.0009502638734624389
Fz_theta_abs_power,-0.0008038417739564708,0.0013345558225465208
Fz_energy,-0.000804248992499934,0.0009849998288861469
P3_gamma_rel_power,-0.0008042779382218979,0.0015833495332065587
O2_beta_rel_power,-0.0008109933457110863,0.001319539926301356
Fz_alpha_abs_power,-0.000830472111562508,0.0015785681617157285
O1_beta_mean_freq,-0.0008624331465617475,0.002540062605600082
T8_gamma_rel_power,-0.0009695182271835301,0.001300440574877944
O2_theta_beta_ratio,-0.0009695182271835301,0.001300440574877944
F3_q75,-0.0009698590045765232,0.0009698590045765233
Pz_energy,-0.0009698590045765232,0.0009698590045765233
F8_theta_abs_power,-0.0009698590045765232,0.0009698590045765233
F4_iqr,-0.0009698590045765232,0.0009698590045765233
O2_theta_abs_power,-0.0011638308054918278,0.0009502638734624388
Fz_var,-0.0011638308054918278,0.0009502638734624388
T7_rms,-0.0011638308054918278,0.0009502638734624388
F7_beta_abs_power,-0.0011709212527015068,0.0009562722801059265
T7_iqr,-0.001184436797675248,0.001996164598087177
Fp2_beta_abs_power,-0.0011847828916737746,0.0017972223267031188
F7_theta_abs_power,-0.0012063734887499012,0.0009849998288861469
F8_var,-0.0013578026064071324,0.000888890460381288
O2_rms,-0.0013578026064071324,0.000888890460381288
P7_theta_rel_power,-0.0013794489877566596,0.0012640713207151986
O2_delta_rel_power,-0.0014074357368748847,0.0009213829714307299
F7_rms,-0.0015517744073224372,0.0007758872036612186
F8_iqr,-0.0015517744073224372,0.0007758872036612186
F8_theta_beta_ratio,-0.0015659842474637586,0.0014664702872917016
Fz_delta_abs_power,-0.0015722623451339013,0.0008066316261032661
F8_theta_rel_power,-0.001608497984999868,0.0008042489924999342
Fp1_beta_abs_power,-0.0017289428301761056,0.0010558922721654249
Fp1_gamma_abs_power,-0.001753211695167911,0.0010599464114735297
Pz_max,-0.001753211695167911,0.0010599464114735297
T7_std,-0.0019747963356228303,0.0015312849664261938
Cz_theta_abs_power,-0.0020106224812498352,0.0
Cz_gamma_abs_power,-0.0020801249856957416,0.003219180145393857
T7_alpha_rel_power,-0.0021411552969985204,0.0006043118635364219
F8_gamma_rel_power,-0.0021620784374585035,0.0010557239422136514
C4_beta_rel_power,-0.0022279975323593825,0.0018783232975832613
F8_spectral_entropy,-0.002364614005914012,0.0014817376841873811
O1_gamma_rel_power,-0.0023858853475430485,0.0014759831002445307
P8_q25,-0.0023993161625214254,0.0007773873625431804
C3_theta_abs_power,-0.002408961713514013,0.0014791846653570491
Cz_theta_beta_ratio,-0.002543721274119448,0.0017714086370436062
Pz_q75,-0.0025853628599039613,0.0017959523648240511
T8_gamma_abs_power,-0.002713459617924063,0.0009657228362810967
Cz_beta_rel_power,-0.0028239888930963962,0.0022188929130271084
P7_gamma_abs_power,-0.0028807584516876263,0.0026670507130231906
F8_gamma_abs_power,-0.003106290153260616,0.002374011451411486
F8_beta_rel_power,-0.0031546542884145047,0.000992158679044453
Fz_beta_abs_power,-0.003504112884702626,0.0021037034399307153
C4_beta_abs_power,-0.0035304617064953582,0.002747046193450038
F8_delta_rel_power,-0.0037593111158076174,0.0016551742802770437
C4_theta_beta_ratio,-0.004496027572676664,0.0012466633348645988
Fp2_gamma_abs_power,-0.005044351573144834,0.001562730475844035
F4_beta_abs_power,-0.006618854369390903,0.007830468042087608
P3_beta_abs_power,-0.008309109327003938,0.0017225078806250653
P7_std,-0.010574727282714658,0.005554919481268622
